Date,Open,High,Low,Close,Volume,ret,log_ret
2018-06-19,46.08324016733233,46.417042870200454,45.97197377874119,46.324317932128906,16600,,
2018-06-20,46.77864076789267,47.18569298676554,46.77864076789267,46.8991813659668,190000,0.012409539082262055,0.012333171890849481
2018-06-21,47.07535784686023,47.14953423474893,46.54683826118928,46.61174392700195,428700,-0.006128837020030087,-0.006147695434555178
2018-06-22,46.90847152079108,46.927016507954164,46.537578851718735,46.81575012207031,181500,0.004376712345022904,0.00436716239433288
2018-06-25,46.57465412713826,46.57465412713826,45.44807215646516,45.851417541503906,2509600,-0.02059846479127103,-0.020813572215935938
2018-06-26,46.10177450087561,46.157405913767455,45.75869761493767,45.92745590209961,104000,0.0016583644448260326,0.0016569908768846453
2018-06-27,46.1945066522455,46.361408004027574,45.52690124511719,45.52690124511719,144900,-0.008721464081011931,-0.00875971863509406
2018-06-28,45.526892239264654,46.166681806901586,45.4063551490063,45.98123550415039,336500,0.00997946810803274,0.009930002040630992
2018-06-29,46.17595778054075,46.213047752726915,45.82361011896104,45.92560577392578,152300,-0.0012098354821193924,-0.0012105679238820777
2018-07-02,45.53617096273632,46.21304702758789,45.37854035196575,46.21304702758789,321300,0.006258845121762224,0.006239339895120377
2018-07-03,46.36140022249689,46.36140022249689,45.609417546875655,45.64743423461914,97500,-0.012239244744695066,-0.01231476110875862
2018-07-05,45.98123520354357,46.36139853000586,45.7401574875089,46.34285354614258,324900,0.015234576119856236,0.015119695269760314
2018-07-06,46.49121233121289,47.118020792720834,46.29649529602293,47.07536697387695,199800,0.015806394550241132,0.015682774453046555
2018-07-09,47.47408016892054,47.47408016892054,46.9641054133741,47.344268798828125,118100,0.0057121556821935204,0.0056959031827577
2018-07-10,47.4833409069748,47.4833409069748,47.16808327287246,47.32478713989258,1153200,-0.0004114892769455647,-0.00041157396189017703
2018-07-11,47.010462669716446,47.5018924025409,46.96410197480562,47.26081466674805,227500,-0.001351775190354898,-0.001352689662637907
2018-07-12,47.56680326231255,48.002601623535156,47.418446900187035,48.002601623535156,361400,0.015695602414340426,0.01557370034317529
2018-07-13,48.0118564087772,48.030401390022796,47.70494634246031,47.92840576171875,80100,-0.0015456633454639102,-0.0015468591153831035
2018-07-16,48.0118622566735,48.0118622566735,47.70587887158577,47.789329528808594,200700,-0.0029017496138217247,-0.0029059678513880804
2018-07-17,47.11245255345299,47.91913986485152,47.0290018979915,47.79859924316406,172600,0.00019397037888713164,0.00019395156906520938
2018-07-18,47.83569123695643,47.84496196035894,47.50188860096187,47.65951919555664,147800,-0.002909709694626894,-0.002913951129440928
2018-07-19,47.687336279762704,47.72442624863169,47.29419180619616,47.32571792602539,258400,-0.007003874045845793,-0.007028516299908194
2018-07-20,47.33497684270878,47.46108129057085,47.140259860356956,47.16807556152344,158400,-0.0033310084117130767,-0.003336568570957432
2018-07-23,47.22372641534561,47.381353491200294,46.96410368471699,47.36281204223633,94800,0.004128565314454935,0.004120066173485704
2018-07-24,48.31785026389244,48.31785026389244,47.43698298166919,47.69660568237305,211200,0.007047589147347377,0.00702287095875942
2018-07-25,47.7800542544993,48.09994902324683,47.640972186808874,48.03968048095703,604300,0.007192855627266903,0.007167110421876899
2018-07-26,46.12958952904754,46.37994149466148,45.962688218638256,46.227874755859375,833400,-0.03771477468123163,-0.03844438024615071
2018-07-27,46.14813994643878,46.20377490215798,45.098517834110865,45.35072326660156,1111200,-0.018974514703309686,-0.01915684085851055
2018-07-30,45.452710786703264,45.452710786703264,44.38547059873173,44.636749267578125,251300,-0.01574338726256308,-0.015868630626186597
2018-07-31,44.85002101142755,45.22091365638162,44.63675897856201,44.9334716796875,1211400,0.006647491517149939,0.006625494375478436
2018-08-01,45.02619906897117,45.22926013266919,44.617289711032974,44.74802780151367,1250400,-0.004127076569907184,-0.004135616455019697
2018-08-02,44.59038793237992,45.11890752965387,44.4142159123198,45.04473114013672,190700,0.006630534421296019,0.006608649115523502
2018-08-03,44.590396557243814,45.3692682518413,44.590396557243814,45.35072326660156,117200,0.006793072546329215,0.006770103590204357
2018-08-06,45.350718096490645,45.81433206334788,45.26726744097259,45.80506134033203,110200,0.010018320348708976,0.009968469647776868
2018-08-07,46.06467850869667,46.17501813853888,45.82359729405378,45.860687255859375,128800,0.0012144054368585788,0.001213668643026633
2018-08-08,45.944137560773534,45.99049824414011,45.76611211219467,45.8235969543457,114200,-0.0008087602635944435,-0.0008090874866182318
2018-08-09,45.8606973290017,46.25476853273549,45.8606973290017,46.07395935058594,306400,0.005463612917372407,0.005448741527405154
