Date,Open,High,Low,Close,Volume,ret,log_ret
2018-01-02,148.39279619244274,150.2600291651135,148.02314174146068,150.2221221923828,32573300,,
2018-01-03,150.3643203581718,151.81450459596132,150.3358865074538,151.6818084716797,29383600,0.009716853004030357,0.009669947989199734
2018-01-04,152.20309314663828,152.40213006675788,151.72917643406169,151.94717407226562,24776100,0.0017494886384841202,0.001747960065790366
2018-01-05,152.66755573242978,153.5774678346611,152.38320277693543,153.47320556640625,26992300,0.010043171276188811,0.009993073777486927
2018-01-08,153.4732032662687,154.14617143542628,153.41633556858056,154.07034301757812,23159100,0.0038908254308502865,0.0038832757462508027
2018-01-09,154.37364481042138,154.5347747774991,153.61538954483012,154.07981872558594,24782400,6.150247881731019e-05,6.150058761722477e-05
2018-01-10,153.39739030731755,153.74809858305758,152.71494894070165,153.7196502685547,34004000,-0.0023375446571151093,-0.002340280979643339
2018-01-11,153.98505460556953,154.78123136669927,153.74809620312902,154.77174377441406,20473500,0.00684423561998293,0.006820920163235655
2018-01-12,154.63905632860636,156.07029441588074,154.44001935854706,155.90916442871094,37762700,0.007349020089576053,0.00732214761867489
2018-01-16,156.94225609550432,157.7384326803737,154.9991947330953,155.46363830566406,41231800,-0.002857600607888533,-0.0028616913434893476
2018-01-17,156.2030112275085,157.37831586898506,155.44474130419715,157.141357421875,33849900,0.010791713962799987,0.010733898994146784
2018-01-18,156.89493514935936,157.52998208974518,156.52528052845426,157.16981506347656,26432200,0.00018109581123937346,0.00018107941537248706
2018-01-19,157.63420958058026,157.91856256374317,156.90437363178057,157.6626434326172,38937600,0.003135642610138545,0.003130736735553974
2018-01-22,157.60578199317771,159.34979248046875,157.42569128125635,159.34979248046875,26081400,0.010701006979961125,0.010644156417327189
2018-01-23,159.84262588846244,160.80942001748102,159.7667974800306,160.667236328125,37989700,0.008267621985248219,0.008233632412057545
2018-01-24,161.0084933004039,161.35920157646174,158.70526453308307,159.62466430664062,54287400,-0.00648901447059913,-0.006510159648880354
2018-01-25,160.72418370535013,160.7810514190541,159.05598696845513,159.5678253173828,28925000,-0.0003560789900777239,-0.000356142401255255
2018-01-26,160.45878246982426,162.032190096271,160.1460100336671,162.0132293701172,32038200,0.015325170020149326,0.01520892573985666
2018-01-29,161.67193851189933,161.99419837397016,160.88523511016953,161.22645568847656,37277800,-0.004856231091124319,-0.004868060895712567
2018-01-30,159.75739735885583,160.58200817535106,159.0654827020586,159.89956665039062,44987700,-0.008229970896648453,-0.008264024073602272
2018-01-31,160.7999313737118,161.12220572313333,159.55827192720372,160.56297302246094,42449200,0.004148894121275504,0.004140311191648038
2018-02-01,159.33086204244336,160.8758212481912,158.68632756013008,159.1981658935547,38037900,-0.00850013613484435,-0.008536468324206403
2018-02-02,158.57256286054488,158.9516905122908,155.89019205920337,156.02288818359375,68478100,-0.019945441532812858,-0.020147036961849274
2018-02-05,154.5632168715087,157.10340372718997,149.75769405065472,149.87142944335938,105372200,-0.03942664317940259,-0.040224926112954584
2018-02-06,147.68196141062802,154.0324440899537,147.0090076059064,153.84288024902344,118537900,0.026499052023554626,0.026154033972824564
2018-02-07,153.34993502228212,155.0181307970347,151.84288362714437,151.8523712158203,91028300,-0.012938584027945343,-0.013023016588844527
2018-02-08,152.24104975673674,152.41166734954348,145.44508361816406,145.44508361816406,94184800,-0.04219418864753777,-0.043110223695435934
2018-02-09,147.50187754981673,149.03737799708756,142.29827973007207,147.95684814453125,113836600,0.017269504502203104,0.017122081470778205
2018-02-12,149.4733878703745,151.60601392755015,148.2980832106094,150.5823516845703,63050600,0.017745062651472132,0.017589457150148924
2018-02-13,149.7198552185866,151.66290322135808,149.4923698668464,151.35960388183594,31785600,0.005161642042181391,0.005148366430935525
2018-02-14,150.4685638728737,154.43050084877248,149.75768876796246,154.19354248046875,52107400,0.018723216274041166,0.01855009445337963
2018-02-15,155.5773970031958,157.05601501464844,153.96608287437675,157.05601501464844,51633900,0.018564153129449368,0.01839394255521931
2018-02-16,156.54417805765755,158.06070291920886,156.0892075826804,156.3546142578125,62256300,-0.0044659273748319794,-0.004475929418533475
2018-02-20,155.8049169687526,157.9849230307314,155.73856166389126,156.6674346923828,36785600,0.0020007112425508566,0.0019987124853262372
2018-02-21,157.43518030114507,158.97066623726502,156.1271651924241,156.22195434570312,41161800,-0.0028434776349940405,-0.0028475279974236045
2018-02-22,156.90439063968478,157.73848895729785,155.80491449522538,156.2030029296875,37074400,-0.00012131083684752131,-0.00012131819560146084
2018-02-23,157.46356673831517,159.3971405029297,156.81903250825042,159.3971405029297,50096900,0.02044863103355299,0.020242364944026647
2018-02-26,160.14596555496297,161.51083374023438,160.01326943433412,161.51083374023438,39266700,0.013260546774148896,0.013173395328905713
2018-02-27,161.55821862473786,161.8236108500838,159.43508082197027,159.51089477539062,42209900,-0.012382692346572521,-0.012459996701704945
2018-02-28,160.42083304625956,160.94214440661983,158.38299663906076,158.4872589111328,42936300,-0.006417341371567131,-0.006438021026451857
2018-03-01,158.57255575538582,159.30239163822753,154.49686859916835,155.899658203125,76809900,-0.01632686895959712,-0.01646162101720705
2018-03-02,154.02291286495407,157.6057216194973,153.5110892412144,157.3308563232422,57445100,0.00918025181461557,0.0091383694349787
2018-03-05,156.5916312005346,159.48251277086146,156.00396439955458,159.074951171875,38540200,0.011085523141433296,0.011024529083164758
2018-03-06,159.85214130965107,160.28815115779622,158.74317766065695,159.7478790283203,29480900,0.004230256564518697,0.0042213341830095175
2018-03-07,158.52523011479724,160.2502948674573,158.2503646295001,160.11758422851562,34609400,0.0023143042802451497,0.0023116304027439583
2018-03-08,160.78099527258513,161.1127283076122,160.1364609958279,160.99899291992188,25828400,0.005504758866136328,0.0054896630549103875
2018-03-09,162.14590799141615,164.1268768310547,161.90894958104428,164.1268768310547,38310500,0.019427971904697472,0.019241658124252048
2018-03-12,164.61025561189868,165.37799849536106,164.24060109531337,164.99887084960938,37635000,0.0053129264102933504,0.005298862608078103
2018-03-13,165.37800642158484,166.0699353792937,162.3354685922046,162.7525177001953,55638900,-0.013614354679199803,-0.013707879832377756
2018-03-14,163.60556813918518,163.7287911427087,162.01320007452026,162.7240753173828,40536400,-0.0001747584812475944,-0.00017477375329022493
2018-03-15,162.8378130388127,163.52972750731436,161.9847541333627,162.58189392089844,28810400,-0.0008737575936876851,-0.0008741395423568221
2018-03-16,162.85674987509069,163.21691675040657,162.02265181328218,162.09848022460938,31176700,-0.0029733550559095656,-0.0029777842579603586
2018-03-19,160.53868081481522,160.6526007268329,157.25384998450403,158.6399383544922,71395100,-0.021336053646677677,-0.021566957531431008
2018-03-20,158.70639994416626,159.5323483471703,158.1747543290714,159.16209411621094,34075700,0.0032914521219238324,0.0032860471502775823
2018-03-21,158.74441153484733,160.21592573974817,157.7760485691552,158.46908569335938,43863500,-0.004354104705015849,-0.0043636114244440805
2018-03-22,156.27599198035415,157.37726603615164,154.358258122673,154.55763244628906,66607300,-0.02468275266406883,-0.024992479026487935
2018-03-23,154.37727636616455,155.03234491785557,150.40889657583298,150.48484802246094,80110400,-0.026351234548338986,-0.02670465079441442
2018-03-26,153.53233662060612,156.26653075738153,151.10194827069787,156.07664489746094,57481500,0.037158537543696024,0.03648479851088737
2018-03-27,157.23489931833987,157.23489931833987,149.69688747636073,151.02601623535156,78889100,-0.03235992589043368,-0.03289508511632011
2018-03-28,150.1620244056561,151.69051244854336,148.13985933706059,149.28860473632812,89369700,-0.0115040543499203,-0.011570737897246275
2018-03-29,150.09558955060515,153.52282009437877,148.70001275526283,152.02281188964844,68692600,0.01831490861710061,0.018149210780737945
2018-04-02,150.94055674999305,151.65258526531605,146.08926855280865,147.63673400878906,85549400,-0.028851445558336186,-0.029275831206710734
2018-04-03,148.92785677022718,149.92469943592417,146.6208916880832,149.29811096191406,64090000,0.011253140786940508,0.01119029523191184
2018-04-04,146.41202440796775,152.11773997962922,146.24113006286774,151.65255737304688,65768700,0.01577010181818994,0.0156470458136182
2018-04-05,153.16210541966592,153.39944829402486,151.40576235490596,152.5165252685547,43054900,0.005697021603022101,0.005680854947578418
2018-04-06,150.8361128349577,152.33612118808048,147.98799900944118,148.7000274658203,59870900,-0.025023503492583532,-0.025341914421087353
2018-04-09,149.98169710974756,152.73488299723076,149.48803438751636,149.74435424804688,41810400,0.007023043640436599,0.006998496930846088
2018-04-10,152.0988005832429,153.5418347021547,151.01651775092998,153.0481719970703,48296800,0.02206305383340701,0.02182318638854408
2018-04-11,152.0892707299291,153.79814187018226,151.99434229707123,152.16522216796875,41622100,-0.005769097517338895,-0.005785803041939097
2018-04-12,153.08614040418246,154.52918900864083,153.00070045368207,153.99754333496094,30467900,0.012041655385417682,0.011969731466205502
2018-04-13,154.76651406830817,154.9943539101142,152.53548570891434,153.20004272460938,44604900,-0.005178658003763825,-0.00519211372829087
2018-04-16,154.27287016497698,154.92793882378672,153.30450716994258,154.36781311035156,28180800,0.007622519974366915,0.007593615360062422
2018-04-17,155.92469068649737,158.03229536309482,155.6113965333544,157.69052124023438,35536100,0.02152461748944745,0.021296234338504583
2018-04-18,157.69056869565964,158.54499701681692,156.94055730405546,158.0133514404297,29573900,0.0020472390962771314,0.0020451463580553053
2018-04-19,157.21589003534092,157.58614425573325,156.01967294926106,156.56082153320312,34705700,-0.009192450473238356,-0.00923496176862848
2018-04-20,156.16210292714638,156.27602285671782,153.54182865694233,154.08297729492188,49197100,-0.015826719699192138,-0.015953299566618284
2018-04-23,154.83295292429426,155.44054994185572,152.86776197931246,153.69371032714844,33040600,-0.002526346353162401,-0.002529542951053898
2018-04-24,154.42478135906651,154.66212424896318,149.421589183892,150.4374237060547,70256800,-0.021186856730587733,-0.021414519561997025
2018-04-25,150.7032065023883,151.24434061457575,148.54812957914405,150.6177520751953,52089300,0.0011986935477767968,0.001197975688270958
2018-04-26,152.56393837840807,154.3012892924552,152.07026133244153,153.78863525390625,43005500,0.021052519606904463,0.020833977239495205
2018-04-27,156.04815610556335,156.08613906990593,153.01017083969649,153.8835906982422,51043400,0.0006174412314614575,0.0006172506930512967
2018-04-30,154.24437672231159,155.20323664740167,152.4120823375007,152.79183959960938,35615300,-0.007094655730861432,-0.007119942472293417
2018-05-01,152.39310680222823,154.55767251512577,152.0323410213258,154.53868103027344,36513500,0.01143281889426584,0.01136795811322866
2018-05-02,154.80446934641603,155.28865794148024,153.44687545056166,153.62725830078125,38646800,-0.005897699678914958,-0.005915159793185687
2018-05-03,152.84880681081412,154.17792107553498,151.15892675155803,153.60830688476562,60337100,-0.00012335972291144248,-0.00012336733234796782
2018-05-04,152.94375283751748,156.88363872661714,152.82981840805814,156.5228729248047,41543200,0.018974013184231753,0.018796251642810624
2018-05-07,157.2538729710497,158.33615575218604,157.1304500574857,157.82350158691406,32500200,0.008309511816424475,0.008275177890760155
2018-05-08,157.4911845121246,158.00383857550727,156.51333335536808,157.66207885742188,26040200,-0.0010228053988733388,-0.0010233288212520009
2018-05-09,157.94691779634363,159.49439783955623,157.38679213777573,159.38047790527344,29122700,0.010899254026743854,0.0108402852477818
2018-05-10,159.8930757153443,161.14625249560052,159.76965283921976,161.03231811523438,27067600,0.010364131364587248,0.010310791982799827
2018-05-11,160.84243391761876,161.26015947759015,160.1778771114151,160.8804168701172,24688800,-0.0009432966431526246,-0.0009437418274131915
