Date,Open,High,Low,Close,Volume,ret,log_ret
2018-01-02,29.628371680479503,29.872928619384766,29.554544831199514,29.872928619384766,27445600,,
2018-01-03,29.928301390280478,30.140558422500636,29.896001483647538,30.122100830078125,22663600,0.008341070735584655,0.00830647624203218
2018-01-04,30.24206647956459,30.352808488256752,30.17285140397262,30.27436637878418,21493200,0.00505494452611388,0.005042211186887968
2018-01-05,30.431249446253165,30.620437077684286,30.371264927236513,30.59275245666504,19356000,0.010516688405540986,0.01046177272322879
2018-01-08,30.578911491051834,30.76348387487157,30.56045742105273,30.708114624023438,13467800,0.0037708985983464505,0.0037638065834815215
2018-01-09,30.768099358350053,30.77732639341131,30.578911695552613,30.629669189453125,21212800,-0.0025545506629359727,-0.0025578190949171464
2018-01-10,30.463554354866528,30.532769439223923,30.375885200410888,30.523542404174805,20815600,-0.0034648361567960473,-0.0034708526029465503
2018-01-11,30.592757351275694,30.66196891489714,30.518926989512266,30.64812660217285,15775600,0.004081577306735085,0.0040732702662933384
2018-01-12,30.611203180173373,30.869605856353044,30.569676253180344,30.828075408935547,16308600,0.005871445556804078,0.005854275795107
2018-01-16,31.01727134267689,31.128013364798566,30.6296689846129,30.708114624023438,36443600,-0.0038912836212064983,-0.003898874363536642
2018-01-17,30.883454955546405,31.19722693670431,30.78193997334455,31.16954231262207,29376200,0.015026246132273213,0.014914470417828785
2018-01-18,31.169541489381903,31.30796812656225,31.141853345605718,31.224910736083984,29845800,0.0017763630568130573,0.0017747871898903256
2018-01-19,31.2849063873291,31.335663889430844,31.123403324045743,31.2849063873291,23894400,0.001921403450988457,0.0019195599164492094
2018-01-22,31.26182700347669,31.59405657696618,31.197227199789875,31.589441299438477,18004200,0.009734243994180991,0.009687171471538303
2018-01-23,31.6909500470085,31.792465010092418,31.62635025603229,31.72786521911621,20460200,0.00438196796092738,0.0043723950944634105
2018-01-24,31.810932664045325,31.86630191930623,31.377188055564535,31.483318328857422,37019000,-0.00770763770489824,-0.007737495063142141
2018-01-25,31.681723969315918,31.709408589019034,31.349494451179797,31.427936553955078,25951800,-0.0017590831539374685,-0.0017606321575263095
2018-01-26,31.644803267408125,31.9262752532959,31.575588209818267,31.9262752532959,20097200,0.015856551653821604,0.015732149871035883
